"geekid"	"lng"	"lat"	"V1"
71828	116.479	39.9104	1713
690064	116.465	39.8916	1713
692413	116.446	39.8913	1713
710269	116.452	39.9214	1713
789079	116.469	39.9165	1713
912058	116.471	39.9076	1713
992639	116.455	39.8877	1713
1040230	116.483	39.9079	1713
1218128	116.467	39.9148	1713
1397752	116.452	39.9065	1713
1584395	116.457	39.9338	1713
1716795	116.436	39.895	1713
1891941	116.485	39.926	1713
1938206	116.483	39.9151	1713
1967183	116.453	39.928	1713
2012480	116.49	39.9109	1713
2018782	116.46	39.9328	1713
2030117	116.455	39.9315	1713
2078323	116.482	39.9166	1713
2122822	116.46	39.9322	1713
2129062	116.462	39.894	1713
2146688	116.486	39.9262	1713
2147355	116.486	39.9274	1713
2174054	116.452	39.9259	1713
2213323	116.461	39.9287	1713
2231361	116.467	39.9252	1713
2236291	116.491	39.9205	1713
2261061	116.485	39.9179	1713
2264382	116.478	39.9293	1713
2265173	116.463	39.9214	1713
2294944	116.459	39.9188	1713
2319222	116.452	39.9164	1713
2395595	116.449	39.8936	1713
2404103	116.463	39.8848	1713
2415194	116.452	39.9061	1713
2513393	116.466	39.8866	1713
2530244	116.461	39.9122	1713
2596494	116.444	39.9218	1713
2618822	116.468	39.8823	1713
2769732	116.494	39.9183	1713
2791842	116.484	39.9063	1713
2810062	116.492	39.9203	1713
2821025	116.466	39.9047	1713
2834735	116.439	39.924	1713
2849243	116.454	39.9252	1713
2876127	116.485	39.9258	1713
2905680	116.465	39.8929	1713
2930441	116.46	39.9118	1713
2959229	116.463	39.8888	1713
2969599	116.455	39.9312	1713
3054386	116.459	39.9331	1713
3066820	116.46	39.8911	1713
3085752	116.47	39.9145	1713
3164814	116.472	39.9108	1713
3182582	116.461	39.9117	1713
3200100	116.466	39.8906	1713
3220841	116.461	39.9119	1713
3248599	116.436	39.8958	1713
3270558	116.457	39.9071	1713
3275301	116.438	39.8983	1713
3285580	116.45	39.918	1713
3291949	116.469	39.891	1713
3334187	116.485	39.919	1713
3342535	116.481	39.9096	1713
3368136	116.479	39.8934	1713
3379884	116.45	39.923	1713
3422316	116.451	39.9309	1713
3440009	116.447	39.8996	1713
3473997	116.439	39.9062	1713
3492299	116.434	39.8955	1713
3506363	116.464	39.889	1713
3521046	116.488	39.9197	1713
3571615	116.456	39.9183	1713
3577015	116.479	39.8943	1713
3586813	116.455	39.9344	1713
3587622	116.455	39.9233	1713
3627401	116.478	39.9294	1713
3654426	116.483	39.9207	1713
3655576	116.46	39.9124	1713
3671459	116.443	39.923	1713
3684283	116.453	39.9329	1713
3693456	116.476	39.8872	1713
3697864	116.462	39.884	1713
3767250	116.451	39.9168	1713
3772548	116.465	39.8935	1713
3797953	116.452	39.917	1713
3805320	116.448	39.8918	1713
3812864	116.458	39.9252	1713
3846672	116.486	39.895	1713
3866873	116.433	39.903	1713
3900635	116.456	39.911	1713
3903581	116.466	39.8913	1713
3942588	116.465	39.8893	1713
3959995	116.471	39.9146	1713
3989830	116.464	39.8981	1713
4001162	116.431	39.922	1713
4050143	116.464	39.8816	1713
